status,XYZ
0,"[-0.9795807600021362, -0.8445638418197632, 0.4580592215061188]"
0,"[-0.4795807898044586, -0.8445638418197632, 0.8182662725448608]"
0,"[0.02041921578347683, -0.8445638418197632, 1.0803734064102173]"
0,"[0.5204192399978638, -0.8445638418197632, 1.2443804740905762]"
0,"[1.0204192399978638, -0.8445638418197632, 1.310287594795227]"
0,"[1.47041916847229, -0.8445638418197632, 1.2857284545898438]"
0,"[1.6204192638397217, -0.8445638418197632, 1.2598841190338135]"
0,"[1.6204192638397217, -0.8445638418197632, 1.2598841190338135]"
0,"[1.6204192638397217, -0.8445638418197632, 1.2598841190338135]"
0,"[1.6204192638397217, -0.8445638418197632, 1.2598841190338135]"
